Operation,Category,Perf Weight,Timing Weight,Absolute Alpha,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),"Timing (ns, total)",Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
trunc,Pointwise Unary,0.3837,0.6804,0.6001,0.5639,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.trunc(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",54132123.0,1.0826,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L369,Truncate toward zero element-wise.
rint,Pointwise Unary,0.3837,0.6641,0.6001,0.5778,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.rint(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",52833828.0,1.0567,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L336,Round to nearest integer element-wise.
sign,Pointwise Unary,0.3837,0.9011,0.6001,0.4258,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.sign(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",71690537.0,1.4338,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L256,Element-wise sign function.
signbit,Pointwise Unary,0.3837,0.3314,0.6001,1.1578,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.signbit(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",26362549.0,0.5273,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L363,Returns True for elements with negative sign bit.
fabs,Pointwise Unary,0.3837,0.9058,0.6001,0.4236,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.fabs(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",72061974.0,1.4412,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L315,Element-wise absolute value (always float).
logical_not,Pointwise Unary,0.3837,0.5669,0.6001,0.6768,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.logical_not(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",45103642.0,0.9021,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L328,Element-wise logical NOT.
sinc,Pointwise Unary,0.3837,0.0000,0.6001,N/A,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.sinc(x, out=_out)",n=10000000,5,"[14112715, 30005623, 30005601]",,N/A,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L364,Normalized sinc function element-wise.
i0,Pointwise Unary,0.3837,0.0000,0.6001,N/A,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.i0(x, out=_out)",n=10000000,5,"[14112715, 30005623, 30005601]",,N/A,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L317,"Modified Bessel function of order 0, element-wise."
nan_to_num,Pointwise Unary,0.3837,0.0000,0.6001,N/A,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.nan_to_num(x, out=_out)",n=10000000,5,"[14112715, 30005623, 30005601]",,N/A,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L329,Replace NaN/inf with finite numbers element-wise.
isneginf,Pointwise Unary,0.3837,0.9543,0.6001,0.4021,negligible,FALSE,0.2823,0.6001,0.3714,numel(output),10000000,"np.isneginf(x, out=_out)",n=10000000,5,"[14112714, 30005622, 30005600]",75922690.0,1.5185,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L323,Test for negative infinity element-wise.
