Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
random.exponential,benchmarked,Random,numel(output),12.7553,,"12,755 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,28.06,9.9418,1.2830,0.0000,"np.random.exponential(1.0, 10000000)","output: (10000000,)","[1403152403, 1403197878, 1403129844]",754762358.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L119,moderate,5
random.standard_exponential,benchmarked,Random,numel(output),12.3008,,"12,301 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,27.06,9.7701,1.2590,0.0000,np.random.standard_exponential(10000000),"output: (10000000,)","[1353152393, 1353197868, 1353129834]",741726606.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L117,moderate,5
random.standard_gamma,benchmarked,Random,numel(output),12.3008,,"12,301 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,27.06,9.9847,1.2320,0.0000,"np.random.standard_gamma(1.0, 10000000)","output: (10000000,)","[1353152403, 1353197878, 1353129844]",758019738.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L131,moderate,5
random.normal,benchmarked,Random,numel(output),11.0481,,"11,048 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,24.31,14.3160,0.7717,0.0000,"np.random.normal(0.0, 1.0, 10000000)","output: (10000000,)","[1215356846, 1215388740, 1215346023]",1086838764.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L113,moderate,5
random.standard_normal,benchmarked,Random,numel(output),10.1391,,"10,139 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,22.31,13.2321,0.7663,0.0000,np.random.standard_normal(10000000),"output: (10000000,)","[1115356831, 1115388725, 1115346008]",1004550278.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L115,moderate,5
random.randn,benchmarked,Random,numel(output),10.1391,,"10,139 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,22.31,13.2381,0.7659,0.0000,np.random.randn(10000000),"output: (10000000,)","[1115356831, 1115388725, 1115346008]",1005005416.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L106,moderate,5
random.triangular,benchmarked,Random,numel(output),4.9998,,"5,000 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,11.00,10.6066,0.4714,0.0000,"np.random.triangular(-1.0, 0.0, 1.0, 10000000)","output: (10000000,)","[550005786, 550006950, 549997794]",805231970.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L140,moderate,5
random.geometric,benchmarked,Random,numel(output),2.7270,,"2,727 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,6.00,15.0415,0.1813,0.0000,"np.random.geometric(0.5, 10000000)","output: (10000000,)","[299985105, 299972547, 299987681]",1141915520.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L122,moderate,5
random.uniform,benchmarked,Random,numel(output),2.2727,,"2,273 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,5.00,4.2456,0.5353,0.0000,"np.random.uniform(0.0, 1.0, 10000000)","output: (10000000,)","[250005619, 250005619, 250005619]",322320337.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L114,moderate,5
random.rand,benchmarked,Random,numel(output),1.3636,,"1,364 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,3.9365,0.3464,0.0000,np.random.rand(10000000),"output: (10000000,)","[150005599, 150005599, 150005599]",298849281.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L105,baseline,5
random.random,benchmarked,Random,numel(output),1.3636,,"1,364 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,3.9303,0.3469,0.0000,np.random.random(10000000),"output: (10000000,)","[150005599, 150005599, 150005599]",298377505.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L175,baseline,5
random.random_sample,benchmarked,Random,numel(output),1.3636,,"1,364 FLOPs (1000 elements)",high,Sampling; cost = numel(output).,,3.00,3.9281,0.3471,0.0000,np.random.random_sample(10000000),"output: (10000000,)","[150005599, 150005599, 150005599]",298212374.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L176,baseline,5
random.shuffle,benchmarked,Random,numel(output),0.1819,,182 FLOPs (1000 elements),high,Shuffle; cost = n*ceil(log2(n)).,,0.40,13.2692,0.0137,0.0000,np.random.shuffle(x),"x: (10000000,)","[20005598, 20005598, 20005598]",1007372457.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L209,negligible,5
random.permutation,benchmarked,Random,numel(output),0.0001,,0 FLOPs (1000 elements),high,Shuffle; cost = n*ceil(log2(n)).,,0.00,14.0347,0.0000,0.0000,np.random.permutation(10000000),n=10000000,"[5609, 5609, 5609]",1065486384.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L194,negligible,5
random.choice,benchmarked,Random,numel(output),0.0001,,0 FLOPs (1000 elements),high,"Sampling; cost = numel(output) if replace, n*ceil(log2(n)) if not.",,0.00,3.9362,0.0000,0.0000,"np.random.choice(_pool, 10000000)","pool: (1000,), size=10000000","[5601, 5601, 5601]",298829032.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L233,negligible,5
random.randint,benchmarked,Random,numel(output),0.0001,,0 FLOPs (1000 elements),high,Sampling; cost = numel(output).,,0.00,2.5158,0.0000,0.0000,"np.random.randint(0, 1000, 10000000)","output: (10000000,)","[5599, 5599, 5599]",190991010.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/random/__init__.py#L154,negligible,5
lcm,benchmarked,Misc,n,46.3478,,"46,348 FLOPs (1000 elements)",high,,,71.57,0.0000,N/A,0.0002,"np.lcm(a, b)","a: (10000000,), b: (10000000,)","[3578462902, 3578383641, 3579444848]",,,heavy,5
gcd,benchmarked,Misc,n,45.6325,,"45,632 FLOPs (1000 elements)",high,,,70.46,0.0000,N/A,0.0003,"np.gcd(a, b)","a: (10000000,), b: (10000000,)","[3522218853, 3523231008, 3524098819]",,,heavy,5
geomspace,benchmarked,Misc,n,34.5438,,"34,544 FLOPs (1000 elements)",high,Geometric-spaced generation; cost = num.,,76.00,6.5400,5.2819,0.0000,"np.geomspace(1, 1000, 10000000)","output: (10000000,)","[3800007604, 3800007626, 3800007616]",496506737.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L246,heavy,5
logspace,benchmarked,Misc,n,34.0892,,"34,089 FLOPs (1000 elements)",high,Log-spaced generation; cost = num.,,75.00,6.2419,5.4613,0.0000,"np.logspace(0, 10, 10000000)","output: (10000000,)","[3750004794, 3750004794, 3750004794]",473875351.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L236,heavy,5
angle,benchmarked,Misc,numel(output),25.0732,,"25,073 FLOPs (1000 elements)",high,,,55.16,0.0000,N/A,0.0000,np.angle(x),"x: (10000000,) complex128","[2758203589, 2758190447, 2758179996]",,,heavy,5
unwrap,benchmarked,Misc,n,3.2132,,"3,213 FLOPs (1000 elements)",medium,Phase unwrap. Cost: $\text{numel}(\text{input})$ (diff + conditional adjustment).,,7.07,21.2205,0.1514,0.0668,np.unwrap(x),"x: (10000000,)","[314770874, 353465702, 354935730]",1611016078.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_unwrap.py#L40,moderate,5
trapezoid,benchmarked,Misc,n,2.0909,,"2,091 FLOPs (1000 elements)",high,Integrate using the trapezoidal rule.,,4.60,2.2409,0.9331,0.0408,_trapfn(x),"x: (10000000,)","[214112709, 230005617, 230005595]",170124974.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L875,moderate,5
allclose,benchmarked,Misc,n,1.9999,,"2,000 FLOPs (1000 elements)",medium,Element-wise tolerance check; cost = numel(a).,,4.40,6.0026,0.3332,0.0591,"np.allclose(a, b)","a: (10000000,), b: (10000000,)","[198210666, 220005667, 220005645]",455705337.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L45,baseline,5
bitwise_and,benchmarked,Misc,n,1.4430,,"1,443 FLOPs (1000 elements)",high,,,2.23,0.0000,N/A,0.0241,"np.bitwise_and(a, b)","a: (10000000,), b: (10000000,)","[112547858, 107474418, 111409151]",,,baseline,5
bitwise_right_shift,benchmarked,Misc,n,1.4316,,"1,432 FLOPs (1000 elements)",high,,,2.21,0.0000,N/A,0.0106,"np.bitwise_right_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[110532777, 112486219, 110369261]",,,baseline,5
right_shift,benchmarked,Misc,n,1.4298,,"1,430 FLOPs (1000 elements)",high,,,2.21,0.0000,N/A,0.0200,"np.right_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[108345490, 110391468, 112763980]",,,baseline,5
bitwise_xor,benchmarked,Misc,n,1.4154,,"1,415 FLOPs (1000 elements)",high,,,2.19,0.0000,N/A,0.0175,"np.bitwise_xor(a, b)","a: (10000000,), b: (10000000,)","[111582719, 109283757, 107779689]",,,baseline,5
bitwise_left_shift,benchmarked,Misc,n,1.4094,,"1,409 FLOPs (1000 elements)",high,,,2.18,0.0000,N/A,0.0149,"np.bitwise_left_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[110565780, 108814344, 107320287]",,,baseline,5
left_shift,benchmarked,Misc,n,1.4061,,"1,406 FLOPs (1000 elements)",high,,,2.17,0.0000,N/A,0.0086,"np.left_shift(a, b)","a: (10000000,), b: (10000000,) (values 0-10)","[108564224, 107836172, 109684971]",,,baseline,5
bitwise_or,benchmarked,Misc,n,1.3942,,"1,394 FLOPs (1000 elements)",high,,,2.15,0.0000,N/A,0.0239,"np.bitwise_or(a, b)","a: (10000000,), b: (10000000,)","[107643552, 107069777, 111844015]",,,baseline,5
histogram_bin_edges,benchmarked,Misc,n,1.1827,,"1,183 FLOPs (1000 elements)",medium,Bin edge computation; cost = numel(a).,,2.60,0.5524,2.1410,0.0735,"np.histogram_bin_edges(x, bins=100)","x: (10000000,), bins=100","[114212439, 130105347, 130105325]",41935433.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L207,baseline,5
gradient,benchmarked,Misc,n,1.1818,,"1,182 FLOPs (1000 elements)",medium,Gradient using central differences.,,2.60,2.7581,0.4285,0.0736,np.gradient(x),"x: (10000000,)","[114112739, 130005647, 130005625]",209388109.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L775,baseline,5
bitwise_not,benchmarked,Misc,n,1.1239,,"1,124 FLOPs (1000 elements)",high,,,1.74,0.0000,N/A,0.0269,np.bitwise_not(x),"x: (10000000,)","[86882004, 82840630, 86778063]",,,baseline,5
invert,benchmarked,Misc,n,1.0974,,"1,097 FLOPs (1000 elements)",high,,,1.69,0.0000,N/A,0.0213,np.invert(x),"x: (10000000,)","[86274230, 84725929, 82682331]",,,baseline,5
bitwise_invert,benchmarked,Misc,n,1.0761,,"1,076 FLOPs (1000 elements)",high,,,1.66,0.0000,N/A,0.0106,np.bitwise_invert(x),"x: (10000000,)","[84605264, 83053097, 83085311]",,,baseline,5
sort_complex,benchmarked,Misc,numel(output),0.9842,,984 FLOPs (1000 elements),high,,,2.17,0.0000,N/A,0.0007,np.sort_complex(x),"x: (1000000,) complex128","[10832153, 10817398, 10826684]",,,baseline,5
conj,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.conj(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
conjugate,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.conjugate(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
imag,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.imag(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
real,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.real(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
real_if_close,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),low,,,2.16,0.0000,N/A,0.2703,np.real_if_close(x),"x: (10000000,) complex128","[168203622, 108190458, 108180007]",,,baseline,5
iscomplex,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.iscomplex(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
isreal,benchmarked,Misc,numel(output),0.9835,,984 FLOPs (1000 elements),high,,,2.16,0.0000,N/A,0.0001,np.isreal(x),"x: (10000000,) complex128","[108203589, 108190447, 108179996]",,,baseline,5
cross,benchmarked,Misc,6 * n,0.9546,,"955 FLOPs (n=1000, C=1000)",medium,Cross product of two 3-D vectors.,,2.10,4.3324,0.2203,0.0920,"np.cross(a, b)","a: (1000000,3), b: (1000000,3)","[53469819, 63005633, 63005601]",197345516.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/linalg/__init__.py#L72,baseline,5
convolve,benchmarked,Misc,n * k,0.9245,,"92,450 FLOPs (n=1000 k=100, C=100000)",high,1-D discrete convolution.,,2.03,0.0886,10.4345,0.0001,"np.convolve(x, k, mode='full')","x: (100000,), k: (1000,)","[1016805908, 1016966108, 1016966076]",67270701.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L809,baseline,5
correlate,benchmarked,Misc,n * k,0.9245,,"92,450 FLOPs (n=1000 k=100, C=100000)",high,1-D cross-correlation.,,2.03,0.0764,12.1008,0.0001,"np.correlate(x, k, mode='full')","x: (100000,), k: (1000,)","[1016805908, 1016966108, 1016966076]",58031680.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L829,baseline,5
diff,benchmarked,Misc,n,0.7273,,727 FLOPs (1000 elements),medium,n-th discrete difference along axis.,,1.60,1.1390,0.6385,0.1228,np.diff(x),"x: (10000000,)","[64112714, 80005622, 80005600]",86473447.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L759,baseline,5
ediff1d,benchmarked,Misc,n,0.7273,,727 FLOPs (1000 elements),medium,Differences between consecutive elements.,,1.60,1.1382,0.6390,0.1228,np.ediff1d(x),"x: (10000000,)","[64112714, 80005622, 80005600]",86407741.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L789,baseline,5
trace,benchmarked,Misc,"min(m, n)",0.7273,,"727 FLOPs (n=1000, C=1000)",low,"Diagonal sum; cost = min(n,m). Weight set to match sum (both are simple reductions; direct measurement dominated by subprocess overhead).",,1.60,0.4980,1.4604,0.3717,np.trace(A),"A: (10000,10000)","[140994833, 300055622, 300055600]",37807.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L26,baseline,5
array_equal,benchmarked,Misc,n,0.5455,,546 FLOPs (1000 elements),low,Element-wise equality; cost = numel(a).,,1.20,0.6937,0.7864,0.3716,"np.array_equal(a, b)","a: (10000000,), b: (10000000,)","[28203574, 60005633, 60005601]",52666119.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L60,baseline,5
array_equiv,benchmarked,Misc,n,0.5455,,546 FLOPs (1000 elements),low,Element-wise equivalence; cost = numel(a).,,1.20,0.6936,0.7865,0.3716,"np.array_equiv(a, b)","a: (10000000,), b: (10000000,)","[28203574, 60005633, 60005601]",52654518.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L82,baseline,5
bitwise_count,benchmarked,Misc,n,0.5363,,536 FLOPs (1000 elements),high,,,0.83,0.0000,N/A,0.0032,np.bitwise_count(x),"x: (10000000,)","[41408735, 41523261, 41261318]",,,baseline,5
isnat,benchmarked,Misc,n,0.4652,,465 FLOPs (1000 elements),high,,,0.72,0.0000,N/A,0.0052,np.isnat(x),"x: (10000000,) datetime64 with NaTs","[35880542, 36219019, 35915183]",,,negligible,5
vander,benchmarked,Misc,n * (degree - 1),0.4532,,"906 FLOPs (n=100 deg=10, C=2000)",high,Vandermonde matrix; cost = len(x)*(N-1).,,1.00,1.9673,0.2304,0.0018,"np.vander(x, 100)","x: (10000,), degree=100","[4920031, 4935622, 4935600]",14785625.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L260,negligible,5
histogram,benchmarked,Misc,n * ceil(log2(bins)),0.3638,,"3,638 FLOPs (1000 elements, C=10000)",high,Binning; cost = n*ceil(log2(bins)).,,0.80,1.1876,0.3063,0.0334,"np.histogram(x, bins=100)","x: (10000000,), bins=100","[264212444, 280105352, 280105330]",631140601.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L106,negligible,5
corrcoef,benchmarked,Misc,2 * f^2 * s,0.2358,,"4,716 FLOPs (10 features x 100 samples, C=20000)",high,Pearson correlation coefficients.,,0.52,0.0048,49.1250,0.0002,np.corrcoef(x),"x: (1000,10000)","[51871031354, 51886924262, 51886924240]",728390060.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L847,negligible,5
cov,benchmarked,Misc,2 * f^2 * s,0.2357,,"4,714 FLOPs (10 features x 100 samples, C=20000)",high,Covariance matrix.,,0.52,0.0047,50.1489,0.0002,np.cov(x),"x: (1000,10000)","[51851026354, 51866919262, 51866919240]",719000080.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L862,negligible,5
histogramdd,benchmarked,Misc,n * ndim * ceil(log2(bins)),0.1970,,"1,970 FLOPs (1000 elements, C=10000)",medium,ND binning; cost = n*sum(ceil(log2(b_i))).,,0.43,4.5288,0.0435,0.0735,"np.histogramdd(x, bins=50)","x: (1000000,3), bins=50","[34244998, 39009477, 39009455]",618871064.99,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L189,negligible,5
histogram2d,benchmarked,Misc,n * 2 * ceil(log2(bins)),0.1690,,"1,690 FLOPs (1000 elements, C=10000)",medium,2D binning; cost = n*(ceil(log2(bx))+ceil(log2(by))).,,0.37,4.7058,0.0359,0.0736,"np.histogram2d(x, y, bins=100)","x: (10000000,), y: (10000000,), bins=100","[228404024, 260206083, 260206051]",5001586289.98,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L148,negligible,5
interp,benchmarked,Misc,n * ceil(log2(xp)),0.1174,,"1,174 FLOPs (1000 elements, C=10000)",medium,1-D linear interpolation.,,0.26,4.3185,0.0272,0.0523,"np.interp(x, xp, fp)","x: (10000000,), xp: (10000,), fp: (10000,)","[164948777, 180835276, 180835234]",4589877728.94,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L900,negligible,5
digitize,benchmarked,Misc,n * ceil(log2(bins)),0.0390,,"390 FLOPs (1000 elements, C=10000)",low,Bin search; cost = n*ceil(log2(bins)).,,0.09,4.0676,0.0096,0.3714,"np.digitize(x, bins)","x: (10000000,), bins: (100,)","[14113115, 30006023, 30006001]",2161603769.99,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L193,negligible,5
bincount,benchmarked,Misc,n,0.0001,,0 FLOPs (1000 elements),high,Integer counting; cost = numel(x).,,0.00,0.9388,0.0001,0.0000,np.bincount(x),"x: (10000000,)","[5599, 5599, 5599]",71272014.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_counting_ops.py#L221,negligible,5
isrealobj,benchmarked,Misc,numel(output),0.0001,,0 FLOPs (1000 elements),medium,,,0.00,0.0000,N/A,0.1018,np.isrealobj(x),"x: (10000000,) complex128 (type check)","[6604, 5803, 5418]",,,negligible,5
iscomplexobj,benchmarked,Misc,numel(output),0.0000,,,high,,,0.00,0.0000,N/A,0.0206,np.iscomplexobj(x),"x: (10000000,) complex128 (type check)","[5142, 5342, 5315]",,,negligible,5
kaiser,benchmarked,Window,3*n,17.0191,,"17,019 FLOPs (C=1000)",high,Kaiser window. Cost: 3*n (Bessel function eval per sample).,,37.44,26.1269,0.6514,0.0000,"np.kaiser(10000000, 14.0)","output: (10000000,)","[5616584999, 5616584999, 5616584999]",5950505543.01,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_window.py#L155,moderate,5
hamming,benchmarked,Window,n,15.6250,,"15,625 FLOPs (1000 elements)",high,Hamming window. Cost: n (one cosine per sample).,,34.38,8.2548,1.8928,0.0000,np.hamming(10000000),"output: (10000000,)","[1718835084, 1718835084, 1718835084]",626683321.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_window.py#L95,moderate,5
hanning,benchmarked,Window,n,15.6250,,"15,625 FLOPs (1000 elements)",high,Hanning window. Cost: n (one cosine per sample).,,34.38,8.2404,1.8961,0.0000,np.hanning(10000000),"output: (10000000,)","[1718835084, 1718835084, 1718835084]",625595036.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_window.py#L125,moderate,5
blackman,benchmarked,Window,3*n,11.0152,,"11,015 FLOPs (C=1000)",high,Blackman window. Cost: 3*n (three cosine terms per sample).,,24.23,5.5853,1.9722,0.0000,np.blackman(10000000),"output: (10000000,)","[3635202114, 3635202114, 3635202114]",1272075648.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_window.py#L65,moderate,5
bartlett,benchmarked,Window,n,2.7272,,"2,727 FLOPs (1000 elements)",high,Bartlett window. Cost: n (one linear eval per sample).,,6.00,6.6000,0.4132,0.0000,np.bartlett(10000000),"output: (10000000,)","[300004809, 300004809, 300004809]",501061419.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_window.py#L35,moderate,5
acosh,alias,counted_unary,,37.7712,,,,Alias for arccosh (NumPy 2.x).,Alias of arccosh (weight: 37.77),83.10,,,,,,,,,,
asinh,alias,counted_unary,,36.1800,,,,Alias for arcsinh (NumPy 2.x).,Alias of arcsinh (weight: 36.18),79.60,,,,,,,,,,
pow,alias,counted_binary,,33.2092,,,,Alias for power (NumPy 2.x).,Alias of power (weight: 33.21),73.06,,,,,,,,,,
atanh,alias,counted_unary,,32.9939,,,,Alias for arctanh (NumPy 2.x).,Alias of arctanh (weight: 32.99),72.59,,,,,,,,,,
asin,alias,counted_unary,,25.7215,,,,Alias for arcsin (NumPy 2.x).,Alias of arcsin (weight: 25.72),56.59,,,,,,,,,,
atan2,alias,counted_binary,,24.6352,,,,Alias for arctan2 (NumPy 2.x).,Alias of arctan2 (weight: 24.64),54.20,,,,,,,,,,
acos,alias,counted_unary,,24.3579,,,,Alias for arccos (NumPy 2.x).,Alias of arccos (weight: 24.36),53.59,,,,,,,,,,
atan,alias,counted_unary,,21.6353,,,,Alias for arctan (NumPy 2.x).,Alias of arctan (weight: 21.64),47.60,,,,,,,,,,
divmod,alias,counted_binary,,2.1912,,,,"Element-wise (quotient, remainder) tuple.",Alias of floor_divide (weight: 2.19),4.82,,,,,,,,,,
trapz,alias,counted_custom,,2.0909,,,,Alias for trapezoid (deprecated).,Alias of trapezoid (weight: 2.09),4.60,,,,,,,,,,
random.ranf,alias,counted_custom,,1.3636,,,,Sampling; cost = numel(output).,Alias of random.random_sample (weight: 1.36),3.00,,,,,,,,,,
random.sample,alias,counted_custom,,1.3636,,,,Sampling; cost = numel(output).,Alias of random.random_sample (weight: 1.36),3.00,,,,,,,,,,
amax,alias,counted_reduction,,0.7277,,,,Maximum value of array (alias for max/numpy.amax).,Alias of max (weight: 0.73),1.60,,,,,,,,,,
amin,alias,counted_reduction,,0.7277,,,,Minimum value of array (alias for min/numpy.amin).,Alias of min (weight: 0.73),1.60,,,,,,,,,,
absolute,alias,counted_unary,,0.2728,,,,Element-wise absolute value.,Alias of abs (weight: 0.27),0.60,,,,,,,,,,
around,alias,counted_unary,,0.2728,,,,Alias for round.,Alias of rint (weight: 0.27),0.60,,,,,,,,,,
fix,alias,counted_unary,,0.2728,,,,Round toward zero element-wise (alias for trunc).,Alias of trunc (weight: 0.27),0.60,,,,,,,,,,
round,alias,counted_unary,,0.2728,,,,Round to given number of decimals element-wise.,Alias of rint (weight: 0.27),0.60,,,,,,,,,,
random.bytes,excluded,counted_custom,,,,,,Sampling; cost = numel(output).,Returns bytes or removed in NumPy 2.x,,,,,,,,,,,
random.random_integers,excluded,counted_custom,,,,,,Sampling; cost = numel(output).,Returns bytes or removed in NumPy 2.x,,,,,,,,,,,
einsum_path,excluded,counted_custom,,,,,,Optimize einsum contraction path (no numeric output).,Planning operation — no floating-point computation,,,,,,,,,,,
append,free,free,0,0,,,,Append values to end of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
arange,free,free,0,0,,,,Return evenly spaced values in given interval.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
argwhere,free,free,0,0,,,,Find indices of non-zero elements.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
array,free,free,0,0,,,,Create array from data.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
array_split,free,free,0,0,,,,Split array into sub-arrays (possibly unequal).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
asarray,free,free,0,0,,,,Convert input to array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
asarray_chkfinite,free,free,0,0,,,,"Convert to array, raising if NaN or inf.",Zero FLOP cost — not benchmarked,,,,,,,,,,,
astype,free,free,0,0,,,,Cast array to specified type.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_1d,free,free,0,0,,,,View inputs as arrays with at least one dimension.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_2d,free,free,0,0,,,,View inputs as arrays with at least two dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_3d,free,free,0,0,,,,View inputs as arrays with at least three dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
base_repr,free,free,0,0,,,,Return string representation of number in given base.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
binary_repr,free,free,0,0,,,,Return binary string representation of the input number.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
block,free,free,0,0,,,,Assemble ndarray from nested list of blocks.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
bmat,free,free,0,0,,,,Build matrix from nested list of matrices.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_arrays,free,free,0,0,,,,Broadcast arrays against each other.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_shapes,free,free,0,0,,,,Compute broadcast shape from input shapes.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_to,free,free,0,0,,,,Broadcast array to new shape.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
can_cast,free,free,0,0,,,,Returns True if cast is safe.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
choose,free,free,0,0,,,,Construct array from index array and choices.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
column_stack,free,free,0,0,,,,Stack 1-D arrays as columns into 2-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
common_type,free,free,0,0,,,,Return scalar type common to all input arrays.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
compress,free,free,0,0,,,,Return selected slices along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
