Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
sign,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise sign function.,,0.60,0.9447,0.2888,0.3714,"np.sign(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",71719230.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L256,negligible,5
signbit,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Returns True for elements with negative sign bit.,,0.60,0.3298,0.8272,0.3714,"np.signbit(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",25039829.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L363,negligible,5
fabs,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise absolute value (always float).,,0.60,0.9465,0.2882,0.3714,"np.fabs(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",71859636.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L315,negligible,5
logical_not,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Element-wise logical NOT.,,0.60,0.5947,0.4587,0.3714,"np.logical_not(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",45145720.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L328,negligible,5
sinc,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Normalized sinc function element-wise.,,0.60,8.8300,0.0309,0.3714,np.sinc(x),"x: (10000000,)","[14112715, 30005623, 30005601]",680153166.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L364,negligible,5
i0,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,"Modified Bessel function of order 0, element-wise.",,0.60,43.3131,0.0063,0.3714,np.i0(x),"x: (10000000,)","[14112715, 30005623, 30005601]",3336297833.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L317,negligible,5
nan_to_num,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Replace NaN/inf with finite numbers element-wise.,,0.60,0.8719,0.3129,0.3714,np.nan_to_num(x),"x: (10000000,)","[14112715, 30005623, 30005601]",67160167.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L329,negligible,5
isneginf,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Test for negative infinity element-wise.,,0.60,0.9679,0.2818,0.3714,"np.isneginf(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",73477412.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L323,negligible,5
isposinf,benchmarked,Pointwise Unary,numel(output),0.2728,,273 FLOPs (1000 elements),low,Test for positive infinity element-wise.,,0.60,1.0193,0.2676,0.3714,"np.isposinf(x, out=_out)","x: (10000000,)","[14112714, 30005622, 30005600]",77386544.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L324,negligible,5
power,benchmarked,Pointwise Binary,numel(output),33.2092,,"33,209 FLOPs (1000 elements)",medium,Element-wise exponentiation x**y.,,73.06,9.7517,3.4055,0.1470,"np.power(a, b, out=_out)","a: (10000000,), b: (10000000,)","[3653202617, 3610005633, 4641404919]",740329839.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L413,heavy,5
arctan2,benchmarked,Pointwise Binary,numel(output),24.6352,,"24,635 FLOPs (1000 elements)",high,Element-wise arctan(y/x) considering quadrant.,,54.20,1.5717,15.6742,0.0068,"np.arctan2(a, b, out=_out)","a: (10000000,), b: (10000000,)","[2678210644, 2710005633, 2710005601]",119322892.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L420,heavy,5
logaddexp2,benchmarked,Pointwise Binary,numel(output),16.0157,,"16,016 FLOPs (1000 elements)",low,log2(2**x1 + 2**x2) element-wise.,,35.24,17.2574,0.9280,0.4448,"np.logaddexp2(a, b, out=_out)","a: (10000000,), b: (10000000,)","[2594005139, 1761822103, 1004825541]",1310142049.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L445,moderate,5
logaddexp,benchmarked,Pointwise Binary,numel(output),15.3625,,"15,362 FLOPs (1000 elements)",low,log(exp(x1) + exp(x2)) element-wise.,,33.80,16.9894,0.9042,0.4164,"np.logaddexp(a, b, out=_out)","a: (10000000,), b: (10000000,)","[2611748829, 1689958268, 1120371731]",1289798470.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L444,moderate,5
float_power,benchmarked,Pointwise Binary,numel(output),14.8026,,"14,803 FLOPs (1000 elements)",low,Element-wise exponentiation in float64.,,32.57,10.1917,1.4524,0.4870,"np.float_power(a, b, out=_out)","a: (10000000,), b: (10000000,)","[1628367927, 3110005633, 1270203784]",773729552.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L429,moderate,5
hypot,benchmarked,Pointwise Binary,numel(output),5.3182,,"5,318 FLOPs (1000 elements)",high,Element-wise Euclidean norm sqrt(x1^2 + x2^2).,,11.70,9.9862,0.5326,0.0460,"np.hypot(a, b, out=_out)","a: (10000000,), b: (10000000,)","[539684454, 585061193, 585034041]",758129848.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L438,moderate,5
floor_divide,benchmarked,Pointwise Binary,numel(output),2.1912,,"2,191 FLOPs (1000 elements)",medium,Element-wise floor division.,,4.82,12.2127,0.1794,0.0800,"np.floor_divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[241046584, 235420983, 272493391]",927159424.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L430,moderate,5
isclose,benchmarked,Pointwise Binary,numel(output),1.9090,,"1,909 FLOPs (1000 elements)",medium,Element-wise approximate equality test.,,4.20,5.9723,0.3196,0.0921,"np.isclose(a, b)","a: (10000000,), b: (10000000,)","[178210644, 210005633, 210005601]",453406193.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L388,baseline,5
add,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise addition.,,2.20,1.0146,0.9856,0.1847,"np.add(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",77027414.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L407,baseline,5
subtract,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise subtraction.,,2.20,1.0142,0.9860,0.1847,"np.subtract(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",76997256.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L408,baseline,5
multiply,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise multiplication.,,2.20,1.0166,0.9837,0.1847,"np.multiply(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",77175132.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L409,baseline,5
divide,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise true division.,,2.20,0.9838,1.0165,0.1847,"np.divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",74690462.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L410,baseline,5
true_divide,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise true division (explicit).,,2.20,1.0172,0.9831,0.1847,"np.true_divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",77223021.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L454,baseline,5
maximum,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise maximum (propagates NaN).,,2.20,1.0244,0.9762,0.1847,"np.maximum(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",77768648.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L411,baseline,5
minimum,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise minimum (propagates NaN).,,2.20,1.0439,0.9579,0.1847,"np.minimum(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",79248978.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L412,baseline,5
fmax,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise maximum ignoring NaN.,,2.20,1.0167,0.9836,0.1847,"np.fmax(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",77185347.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L431,baseline,5
fmin,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise minimum ignoring NaN.,,2.20,1.0122,0.9879,0.1847,"np.fmin(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78210644, 110005633, 110005601]",76845386.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L432,baseline,5
mod,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise modulo.,,1.20,11.2632,0.0484,0.2533,"np.mod(a, b, out=_out)","a: (10000000,), b: (10000000,)","[53214789, 60005633, 84993256]",855077436.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L414,baseline,5
remainder,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise remainder (same as mod).,,1.20,11.2838,0.0483,0.2533,"np.remainder(a, b, out=_out)","a: (10000000,), b: (10000000,)","[53214789, 60005633, 84993256]",856641231.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L452,baseline,5
fmod,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise C-style fmod (remainder toward zero).,,1.20,5.9659,0.0914,0.3715,"np.fmod(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",452917412.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L433,baseline,5
greater,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 > x2.,,1.20,0.6842,0.7973,0.3715,"np.greater(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",51939427.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L435,baseline,5
greater_equal,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 >= x2.,,1.20,0.7097,0.7686,0.3715,"np.greater_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",53882641.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L436,baseline,5
less,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 < x2.,,1.20,0.6957,0.7841,0.3715,"np.less(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",52819052.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L442,baseline,5
less_equal,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 <= x2.,,1.20,0.6878,0.7931,0.3715,"np.less_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",52213860.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L443,baseline,5
equal,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 == x2.,,1.20,0.6891,0.7916,0.3715,"np.equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",52314654.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L428,baseline,5
not_equal,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise x1 != x2.,,1.20,0.6762,0.8067,0.3715,"np.not_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",51336569.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L450,baseline,5
logical_and,benchmarked,Pointwise Binary,numel(output),0.5455,,546 FLOPs (1000 elements),low,Element-wise logical AND.,,1.20,0.9800,0.5566,0.3715,"np.logical_and(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",74398703.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L446,baseline,5
